Agencia;Numerador_Complete_AT;Emision;Cancelada;Denominador_Neto;Tasa_Instalacion_pct;Meta_pct;Brecha_pct
VALPARAISO;341;1541;172;1369;24.9;80.7;-55.8
VINA DEL MAR;659;927;89;838;78.6;80.7;-2.1
SAN ANTONIO;177;145;13;132;134.1;80.7;53.4
TOTAL;1177;2613;274;2339;50.3;80.7;-30.4
